公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,风险限定字数句子统计,风险所有句子统计,是否检测到风险章节,文档名称
南京滨江投资发展有限公司,,2018-12-12,53,5,113577,3664,27,29,52,是,2018年南京滨江投资发展有限公司公司债券募集说明书_3419341041157142
公司,,2018-12-10,63,3,96743,3280,21,23,36,是,2018年第一期马鞍山市博望区城市发展投资有限责任公司城市地下综合管廊建设专项债券募集说明书_3415043550895949
临沂振东建设投资有限公司,,2018-12-10,71,3,71679,3598,26,29,45,是,2018年第一期临沂振东建设投资有限公司公司债券募集说明书_3415889878978803
桐乡市崇福皮草产业开发投资有限公司,,2018-12-10,65,6,107974,4913,33,36,64,是,2018年桐乡市崇福皮草产业开发投资有限公司公司债券募集说明书_3414216326062528
宜宾市南溪区财源国有资产经营有限责任公司,,2018-12-10,70,8,142240,4869,29,28,51,是,2018年第二期宜宾市南溪区财源国有资产经营有限责任公司公司债券募集说明书_3415905388301092
伟明环保 股票代码公司,伟明环保,2018-12-06,201,24,242505,10454,57,73,121,是,伟明环保公开发行A股可转换公司债券募集说明书_603568_20181206_4
北京市基础设施投资有限公司,,2018-12-06,51,7,96433,3617,28,29,54,是,2018年第二期北京市基础设施投资有限公司公司债券募集说明书_3414166306045207
北京市基础设施投资有限公司,,2018-12-06,51,7,96433,3617,28,29,54,是,2018年第二期北京市基础设施投资有限公司公司债券募集说明书_3414167252895919
福能股份 股票代码公司,福能股份,2018-12-05,118,6,283750,6997,36,42,82,是,福能股份公开发行可转换公司债券募集说明书_600483_20181205_5
海宁市城市发展投资集团有限公司,,2018-12-05,81,4,115423,5141,34,40,59,是,2018年海宁市城市发展投资集团有限公司公司债券募集说明书_3413202086731523
兴义市信恒城市建设投资有限公司,,2018-12-05,67,7,128543,9296,52,53,105,是,2018年第二期兴义市信恒城市建设投资有限公司公司债券募集说明书_3412467240861454
绵阳安州投资控股集团有限公司,,2018-12-03,54,7,116404,3508,23,32,44,是,2018年第二期绵阳安州投资控股集团有限公司城市停车场建设专项债券募集说明书_3409835734185655
宿迁高新开发投资有限公司,,2018-11-28,54,3,80575,4172,33,28,61,是,2018年第二期宿迁高新开发投资有限公司公司债券募集说明书_3407273739191125
公司,,2018-11-28,60,3,90480,3237,24,26,53,是,2018年青岛市即墨区城市旅游开发投资有限公司城市停车场建设专项债券募集说明书_3407254404195710
海宁市尖山新区开发有限公司,,2018-11-27,75,3,102124,5827,38,48,84,是,2018年第二期海宁市尖山新区开发有限公司公司债券募集说明书_3406363031124768
华晨汽车集团控股有限公司,,2018-11-27,113,12,153153,9145,64,66,138,是,2018年第二期华晨汽车集团控股有限公司公司债券募集说明书_3402991158708041
北京首创股份有限公司,,2018-11-22,107,9,206503,6163,39,44,81,是,首创股份2018年公开发行绿色公司债券募集说明书（面向合格投资者）_600008_20181122_6
北京首创股份有限公司,,2018-11-22,107,9,206503,6163,39,44,81,是,北京首创股份有限公司2018年公开发行绿色公司债券募集说明书_3402801564936537
孟州市投资开发有限公司,,2018-11-21,85,10,101967,5759,39,40,74,是,2018年第二期孟州市投资开发有限公司公司债券募集说明书_3400315713280348
杭州余杭旅游集团有限公司,,2018-11-21,71,10,122528,6084,42,46,93,是,2018年杭州余杭旅游集团有限公司绿色债券募集说明书_3401199955952027
温岭市国有资产投资集团有限公司,,2018-11-21,67,1,92906,5680,40,44,74,是,2018年第二期温岭市国有资产投资集团有限公司公司债券募集说明书_3401038694660848
泰州凤城河建设发展有限公司,,2018-11-21,85,8,113167,6972,47,58,95,是,2018年第一期泰州凤城河建设发展有限公司公司债券募集说明书_3400395047589376
 宁波旭升汽车技术股份有限公司,旭升股份,2018-11-20,102,7,178170,6400,30,54,77,是,旭升股份公开发行可转换公司债券募集说明书_603305_20181120_4
上海市北高新股份有限公司,,2018-11-20,100,13,166656,8591,37,55,117,是,市北高新2018年公开发行公司债券募集说明书（第一期）（面向合格投资者）_600604_20181120_6
枢纽综合开发建设投资有限公司,,2018-11-20,40,7,90281,3776,25,29,50,是,2018年第一期乌鲁木齐高铁枢纽综合开发建设投资有限公司城市停车场专项债券募集说明书_3396119127112652
山鹰国际控股股份公司,山鹰纸业,2018-11-19,144,8,292080,8357,44,66,113,是,山鹰纸业公开发行可转换公司债券募集说明书_600567_20181119_8
公司,圆通速递,2018-11-16,115,7,281041,7787,40,54,100,是,圆通速递公开发行可转换公司债券募集说明书_600233_20181116_4
昆昆集集团团股股份份有有限限公公司,桐昆股份,2018-11-15,98,7,246364,4478,22,35,55,是,桐昆股份公开发行可转换公司债券募集说明书_601233_20181115_6
科森科技 股票代码公司,科森科技,2018-11-14,94,8,200924,5452,28,43,68,是,科森科技公开发行可转换公司债券募集说明书_603626_20181114_3
乌苏市兴融建设投资有限责任公司,,2018-11-12,50,12,111483,4466,29,40,57,是,2018年第一期乌苏市兴融建设投资有限责任公司公司债券募集说明书_3390014342589638
长沙市城北投资有限公司,,2018-11-12,61,5,68151,3527,25,27,47,是,2018年第二期长沙市城北投资有限公司公司债券募集说明书_3390847051267331
彭泽县城市建设投资有限公司,,2018-11-12,53,4,93713,3482,22,31,46,是,2018 年第一期彭泽县城市建设投资有限公司公司债券募集说明书_3390883672537883
福建省投资开发集团有限责任公司,,2018-11-09,130,6,215257,4921,25,41,57,是,福建省投资开发集团有限责任公司公开发行2018年纾困专项债券募集说明书_3391633988231677
湖南天易融通创业投资有限公司,,2018-11-08,43,8,88716,3646,21,27,46,是,2018年第二期湖南天易融通创业投资有限公司公司债券募集说明书_3389947341364370
中国邮政集团公司,,2018-11-08,139,3,90796,5735,36,43,68,是,2018年第一期中国邮政集团公司企业债券募集说明书_3389961281707879
公司,,2018-11-06,89,2,167874,8250,32,64,93,是,梦百合公开发行可转换公司债券募集说明书_603313_20181106_6
中国光大集团股份公司,,2018-11-06,193,8,165848,6805,31,48,89,是,中国光大集团股份公司2018年面向合格投资者公开发行公司债券募集说明书（第一期）_3388965363514760
赣州市南康区城市建设发展集团有限公司,,2018-11-06,45,4,69257,3356,25,26,44,是,2018年第二期赣州市南康区城市建设发展集团有限公司双创孵化专项债券募集说明书_3385634247629337
北京长久物流股份有限公司,长久物流,2018-11-05,122,5,225314,7212,41,53,85,是,长久物流公开发行可转换公司债券募集说明书_603569_20181105_7
江苏交通控股有限公司,,2018-11-05,73,10,112475,3355,24,25,50,是,2018年第一期江苏交通控股有限公司公司债券募集说明书_3384865592469247
铁龙集装箱物流股份有限公司,铁龙物流,2018-11-05,97,8,148434,6914,22,51,73,是,1.中铁铁龙集装箱物流股份有限公司公开发行2018年公司债券募集说明书（第一期）_3385604497487611
公司,,2018-11-02,44,3,89974,2811,22,24,44,是,2018年成都金融城投资发展有限责任公司专项债券募集说明书_3384781509091518
贵州水城经济开发区高科开发投资有限公司,,2018-11-01,80,2,103169,5303,37,46,69,是,2018年贵州水城经济开发区高科开发投资有限公司公司债券募集说明书_3383734876574381
红狮控股集团有限公司,,2018-10-29,122,6,213072,10469,53,75,132,是,红狮控股集团有限公司公开发行2018年扶贫专项公司债券募集说明书_3382175732096720
赣州市章贡区建设投资集团有限公司,,2018-10-29,53,9,119288,6049,35,52,71,是,2018年赣州市章贡区建设投资集团有限公司公司债券募集说明书_3378781838638678
江南新城建设投资开发有限公司,,2018-10-29,57,7,83159,5557,37,46,73,是,2018年第一期常德市鼎城江南新城建设投资开发有限公司公司债券募集说明书_3379638204432168
广西东投集团有限公司,,2018-10-23,48,3,73692,2814,19,21,37,是,2018年第一期广西东投集团有限公司公司债券募集说明书_3376035288690441
