债券募集说明书名称,公告发布日,半透明小字
特发信息：公开发行A股可转换公司债券募集说明书,2018-11-14,1-1-1 股票简称：特发信息 股票代码 ：000070 深圳市特发信息股份有限公司 （深圳市南山区高新区中区科丰路 2 号特发信息港大厦 B 栋 18 楼） 公开发行 A 股可转换公司债券 募集说明
钧达股份：公开发行可转换公司债券募集说明书,2018-12-06,"1 证券代码：002865 证券简称：钧达股份 海南钧达汽车饰件股份有限公司 Hainan Drinda Automotive Trim Co., Ltd. （海口市南海大道 168 号海口保税区内海"
光华科技：公开发行可转换公司债券募集说明书,2018-12-12,股票简称：光华科技 股票代码：002741 广东光华科技股份有限公司 公开发行可转换公司债券 募集说明书 （注册地址：汕头市大学路 295号） 保荐机构（主承销商） 签署日期：2018年 12 月 1
华源控股：公开发行可转换公司债券募集说明书,2018-11-23,"苏州华源控股股份有限公司 可转换公司债券募集说明书 证券简称：华源控股 证券代码：002787 苏州华源控股股份有限公司 SUZHOU HYCAN HOLDINGS CO.,LTD. （苏州市吴江区桃"
张家港行：公开发行A股可转换公司债券募集说明书,2018-11-08,1-1-1 股票简称：张家港行 股票代码：002839.SZ （注册地址：江苏省张家港市人民中路 66号） 江苏张家港农村商业银行股份有限公司 公开发行 A 股可转换公司债券 募集说明书 保荐机构 保
洲明科技：公开发行可转换公司债券募集说明书提示性公告,2018-11-02,证券代码：300232 证券简称：洲明科技 公告编号：2018-141 深圳市洲明科技股份有限公司 公开发行可转换公司债券募集说明书提示性公告 保荐人（主承销商）：中泰证券股份有限公司 本公司及董事会
中航光电：公开发行可转换公司债券募集说明书,2018-11-01,"股票简称：中航光电 股票代码：002179 中航光电科技股份有限公司 AVIC Jonhon Optronic Technology Co.,Ltd. （注册地址：中国（河南）自由贸易试验区洛阳片区周"
利尔化学：公开发行可转换公司债券募集说明书（摘要）,2018-10-15,"利尔化学股份有限公司 公开发行可转换公司债券募集说明书摘要 股票简称：利尔化学 股票代码：002258 利尔化学股份有限公司 LIER CHEMICAL CO.,LTD. （住所：四川省绵阳经济技术开"
利尔化学：公开发行可转换公司债券募集说明书,2018-10-15,"利尔化学股份有限公司 公开发行可转换公司债券募集说明书 1 股票简称：利尔化学 股票代码：002258 利尔化学股份有限公司 LIER CHEMICAL CO.,LTD. （住所：四川省绵阳经济技术开"
中航机电：公开发行可转换公司债券募集说明书（更新后）,2018-08-31,1 股票简称：中航机电 股票代码：002013 中航工业机电系统股份有限公司 （湖北省襄阳市高新区追日路 8号） 公开发行可转换公司债券募集说明书 联合保荐机构（主承销商） （中国（上海）自由贸易试验
