CCHANNELCODE,CTITLE_TXT,CONTENT,CRELEASETIME,CRELEASETIME2,CURL,DOCID,FILESIZE,MIMETYPE
8349,奇精机械公开发行可转换公司债券募集说明书,奇精机械股份有限公司 可转换公司债券募集说明书 股票简称：奇精机械 股票代码：60367,2018-12-12,18:48:44,/disclosure/listedinfo/announcement/c/2018-12-12/603677_20181212_3.pdf,CMS4691391_1_599,5395739,pdf
8349,奇精机械公开发行可转换公司债券募集说明书摘要,"股票简称：奇精机械 股票代码：603677 奇精机械股份有限公司 Qijing Machinery Co., L",2018-12-12,18:48:43,/disclosure/listedinfo/announcement/c/2018-12-12/603677_20181212_2.pdf,CMS4691390_1_599,1866205,pdf
9860,2018年南京滨江投资发展有限公司公司债券募集说明书,I 重要声明及提示 一、发行人声明 发行人承诺不承担政府融资职能，本次债券不涉及新增,2018-12-12,00:00:00,/disclosure/bond/announcement/corporate/c/3419341041157142.pdf,CMS4691154_28_9860,1753367,pdf
9860,2018年第一期马鞍山市博望区城市发展投资有限责任公司城市地下综合管廊建设专项债券募集说明书,2018年第一期马鞍山市博望区城市发展投资有限责任公司城市地下综合管廊建设专项债券募,2018-12-10,00:00:00,/disclosure/bond/announcement/corporate/c/3415043550895949.pdf,CMS4689811_28_9860,1409946,pdf
9860,2018年第一期临沂振东建设投资有限公司公司债券募集说明书,2018年第一期临沂振东建设投资有限公司 公司债券募集说明书 发行人 临沂振东建设投资有,2018-12-10,00:00:00,/disclosure/bond/announcement/corporate/c/3415889878978803.pdf,CMS4689820_28_9860,1233371,pdf
9860,2018年桐乡市崇福皮草产业开发投资有限公司公司债券募集说明书,2018年桐乡市崇福皮草产业开发投资有限公司 公司债券募集说明书 发行人 桐乡市崇福皮草,2018-12-10,00:00:00,/disclosure/bond/announcement/corporate/c/3414216326062528.pdf,CMS4689807_28_9860,2513945,pdf
9860,2018年第二期宜宾市南溪区财源国有资产经营有限责任公司公司债券募集说明书,2018年第二期宜宾市南溪区财源国有资产经营有限责任公司公司债券募集说明书 I 重要声明,2018-12-10,00:00:00,/disclosure/bond/announcement/corporate/c/3415905388301092.pdf,CMS4689816_28_9860,1241699,pdf
8349,伟明环保公开发行A股可转换公司债券募集说明书,1-1-1 股票简称：伟明环保 股票代码：603568 浙江伟明环保股份有限公司 公开发行 A 股,2018-12-06,18:20:51,/disclosure/listedinfo/announcement/c/2018-12-06/603568_20181206_4.pdf,CMS4687881_1_599,5308080,pdf
8349,伟明环保公开发行A股可转换公司债券募集说明书摘要,股票简称：伟明环保 股票代码：603568 浙江伟明环保股份有限公司 公开发行 A 股可转换,2018-12-06,18:20:50,/disclosure/listedinfo/announcement/c/2018-12-06/603568_20181206_3.pdf,CMS4687880_1_599,1176203,pdf
9860,2018年第二期北京市基础设施投资有限公司公司债券募集说明书,2018 年第二期北京市基础设施投资有限公司公司债券募集说明书 1 声明及提示 一、发行人,2018-12-06,00:00:00,/disclosure/bond/announcement/corporate/c/3414166306045207.pdf,CMS4687749_28_9860,921912,pdf
9860,2018年第二期北京市基础设施投资有限公司公司债券募集说明书,2018 年第二期北京市基础设施投资有限公司公司债券募集说明书 1 声明及提示 一、发行人,2018-12-06,00:00:00,/disclosure/bond/announcement/corporate/c/3414167252895919.pdf,CMS4687754_28_9860,921912,pdf
8349,福能股份公开发行可转换公司债券募集说明书,股票简称：福能股份 股票代码：600483 福建福能股份有限公司 （住所：南平市安丰桥）,2018-12-05,17:49:47,/disclosure/listedinfo/announcement/c/2018-12-05/600483_20181205_5.pdf,CMS4686872_1_599,6072407,pdf
8349,福能股份公开发行可转换公司债券募集说明书摘要,股票简称：福能股份 股票代码： 600483 福建福能股份有限公司 （住所：南平市安丰桥）,2018-12-05,17:49:46,/disclosure/listedinfo/announcement/c/2018-12-05/600483_20181205_4.pdf,CMS4686871_1_599,2125597,pdf
9860,2018年海宁市城市发展投资集团有限公司公司债券募集说明书,重要提示：本募集说明书全部内容遵循《中华人民共和国证券法》、《企业债券管理条例》,2018-12-05,00:00:00,/disclosure/bond/announcement/corporate/c/3413202086731523.pdf,CMS4686823_28_9860,2551925,pdf
9860,2018年第二期兴义市信恒城市建设投资有限公司公司债券募集说明书,"2018年第二期兴义市信恒城市建设技资有 限公司公司债券 募集说明书 发行人 , ,11111 孩",2018-12-05,00:00:00,/disclosure/bond/announcement/corporate/c/3412467240861454.pdf,CMS4686817_28_9860,1964450,pdf
